customer,invoice_amount,days_until_due,previous_avg_delay,previous_late_payments,customer_invoice_count,payment_delay_days
Customer B,76225,30,15,3,9,15
Customer I,141161,60,27,0,2,10
Customer B,279258,15,32,9,2,32
Customer I,489898,15,28,9,18,33
Customer A,845667,15,27,5,18,39
Customer F,157175,7,24,1,23,30
Customer F,683052,30,2,7,35,22
Customer B,628856,30,40,9,24,50
Customer J,251629,7,2,10,15,23
Customer D,958573,7,24,4,30,13
Customer F,220555,30,22,3,43,18
Customer B,688720,15,34,3,11,41
Customer H,447887,30,40,8,15,37
Customer A,290174,7,20,6,18,17
Customer B,271231,60,20,3,42,8
Customer H,199811,30,8,3,48,11
Customer I,615158,30,37,6,38,32
Customer C,584277,45,5,0,8,5
Customer C,707924,15,27,9,5,34
Customer H,604816,30,35,0,44,27
Customer B,764825,60,17,10,22,36
Customer H,53402,30,32,2,33,28
Customer B,962804,30,40,8,39,45
Customer C,615579,60,0,9,21,21
Customer H,70422,7,23,4,16,34
Customer B,139814,45,4,8,50,21
Customer C,184628,45,35,2,17,20
Customer D,615492,15,19,6,43,24
Customer F,509381,60,28,1,16,21
Customer J,630828,15,37,3,1,36
Customer B,792225,7,14,1,3,17
Customer D,342004,45,13,8,9,21
Customer J,654201,45,15,7,27,23
Customer G,421507,45,26,7,47,32
Customer A,756073,7,3,6,47,12
Customer D,250896,15,34,7,9,45
Customer G,242401,30,29,3,5,15
Customer I,152664,7,34,0,6,28
Customer D,224389,45,31,7,14,40
Customer C,447382,7,24,4,30,17
Customer E,493555,60,31,2,13,20
Customer J,821476,60,3,5,4,27
Customer A,662554,45,32,8,11,41
Customer C,121849,60,4,10,16,23
Customer G,175710,60,15,9,39,28
Customer J,642683,60,20,4,14,21
Customer F,300280,30,25,2,43,16
Customer B,59767,45,39,9,7,37
Customer B,613750,15,32,4,9,39
Customer D,437477,30,10,7,35,15
Customer E,691390,60,0,10,36,16
Customer C,327312,7,6,8,10,27
Customer E,345442,60,13,5,14,14
Customer I,562262,30,3,1,41,0
Customer G,919634,30,2,0,22,5
Customer E,219430,45,35,6,36,26
Customer A,167308,7,9,8,3,26
Customer C,500664,15,2,4,24,5
Customer A,992590,30,13,10,16,27
Customer I,977082,45,39,2,16,28
Customer C,888742,15,26,0,12,22
Customer G,891204,15,17,2,45,15
Customer B,451124,7,30,3,13,29
Customer E,910394,15,14,0,43,9
Customer D,467821,30,17,1,50,12
Customer G,762526,60,21,0,8,24
Customer E,237241,60,16,0,7,7
Customer F,507592,60,32,1,25,20
Customer J,249312,30,2,6,1,3
Customer D,431913,45,4,10,22,19
Customer J,379164,7,19,8,20,27
Customer E,631343,15,12,6,43,17
Customer G,760219,15,39,9,20,39
Customer E,350850,15,27,9,39,41
Customer F,537575,45,28,10,14,27
Customer C,740855,7,18,8,43,30
Customer J,401470,7,15,10,20,30
Customer A,98458,15,30,9,50,41
Customer B,527538,45,40,9,13,41
Customer G,305836,15,0,1,50,0
Customer G,279471,15,33,7,4,26
Customer B,528634,15,29,10,34,35
Customer I,674377,30,28,9,47,39
Customer I,517574,15,30,7,17,31
Customer D,930660,30,33,7,41,37
Customer E,295884,30,21,5,35,28
Customer B,195095,15,14,6,45,24
Customer G,477398,30,34,7,27,38
Customer A,266881,45,24,9,45,42
Customer J,448858,45,0,5,20,10
Customer G,944905,45,34,8,39,44
Customer E,507007,45,1,6,22,8
Customer G,809359,15,29,2,40,17
Customer J,641807,7,5,10,28,21
Customer C,958959,45,11,0,17,8
Customer F,403894,45,17,6,17,24
Customer B,543152,7,34,0,23,24
Customer A,840870,7,15,3,2,22
Customer J,209784,15,8,7,43,29
Customer H,783442,30,23,2,39,30
Customer J,834256,7,10,4,7,9
Customer J,760250,45,25,3,5,19
Customer J,774161,15,6,4,44,14
